band_banding,original_band,other_bands_banding,event_type_banding,event_date_banding,event_day_banding,event_month_banding,event_year_banding,iso_country_banding,iso_subdivision_banding,lat_dd_banding,lon_dd_banding,coordinates_precision_code_banding,band_type_code_banding,species_name_banding,species_id_banding,bird_status_banding,extra_info_code_banding,age_code_banding,sex_code_banding,permit_banding,band_status_code_banding,how_obtained_code_banding,who_obtained_code_banding,reporting_method_banding,present_condition_banding,min_age_at_enc_banding,record_source_banding,record_id_banding,species_scientific_name_banding,band_recap_enc,other_bands_recap_enc,event_type_recap_enc,event_date_recap_enc,event_day_recap_enc,event_month_recap_enc,event_year_recap_enc,iso_country_recap_enc,iso_subdivision_recap_enc,lat_dd_recap_enc,lon_dd_recap_enc,coordinates_precision_code_recap_enc,band_type_code_recap_enc,species_name_recap_enc,species_id_recap_enc,bird_status_recap_enc,extra_info_code_recap_enc,age_code_recap_enc,sex_code_recap_enc,permit_recap_enc,band_status_code_recap_enc,how_obtained_code_recap_enc,who_obtained_code_recap_enc,reporting_method_recap_enc,present_condition_recap_enc,min_age_at_enc_recap_enc,record_source_recap_enc,record_id_recap_enc,species_scientific_name_recap_enc,distance_km
B00933925440,B00933925440,,B,08/16/2008,16,8,2008,US,US-MD,39.60306,-76.17139,0,11,Ruby-throated Hummingbird,4280,3,00,2.0,4.0,P6716515,0,,,,,,B,-37076464,Archilochus colubris,B00933925440,,E,09/21/2011,21,9,2011,US,US-TX,29.04972,-95.45333,0,11,RUBY-THROATED HUMMINGBIRD,4280,,,,,,,66.0,23.0,7.0,7.0,3.25,E,-8718536,Archilochus colubris,2118.593544406031
B03933007013,B03933007013,,B,08/20/2005,20,8,2005,US,US-IL,39.75,-90.91667,10,11,Ruby-throated Hummingbird,4280,3,00,2.0,4.0,P9992049,0,,,,,,B,-37286736,Archilochus colubris,B03933007013,,E,07/08/2006,8,7,2006,US,US-MO,39.08333,-91.08333,10,11,hummingbird,4280,,,,,,,0.0,21.0,1.0,5.0,1.08,E,-12554542,Archilochus colubris,75.39458943605474
B03933035083,B03933035083,,B,01/12/2005,12,1,2005,US,US-LA,30.41667,-90.08333,10,11,Ruby-throated Hummingbird,4280,3,08,5.0,5.0,P2722567,0,,,,,,B,-37263847,Archilochus colubris,B03933035083,,E,99/99/2005,99,99,2005,CA,CA-MB,50.58333,-98.08333,10,11,HUMMINGBIRD,4280,,,,,,,0.0,21.0,61.0,5.0,0.58,E,-8752460,Archilochus colubris,2336.5209648349296
B03933820300,B03933820300,,B,09/15/2006,15,9,2006,US,US-TX,28.08333,-97.08333,10,11,Ruby-throated Hummingbird,4280,3,00,1.0,5.0,P1711771,0,,,,,,B,-37073320,Archilochus colubris,B03933820300,,E,06/21/2009,21,6,2009,US,US-NC,35.41667,-82.41667,10,11,Hummingbird,4280,,,,,,,0.0,21.0,7.0,5.0,4.0,E,-12272127,Archilochus colubris,1607.3922071323739
B04933007174,B04933007174,,B,09/09/2002,9,9,2002,US,US-IL,37.41667,-89.25,10,11,Ruby-throated Hummingbird,4280,3,00,2.0,5.0,P9992049,0,,,,,,B,-57225077,Archilochus colubris,B04933007174,,E,09/17/2008,17,9,2008,US,US-TX,31.41667,-95.41667,10,11,RUBY-THRT HUMMER,4280,,,,,,,66.0,23.0,7.0,7.0,6.25,E,-12331623,Archilochus colubris,873.8297170646975
B04933007570,B04933007570,,B,09/08/2002,8,9,2002,US,US-IL,37.58333,-89.25,10,11,Ruby-throated Hummingbird,4280,3,00,1.0,4.0,P9992049,0,,,,,,B,-75791524,Archilochus colubris,B04933007570,,E,06/10/2003,10,6,2003,US,US-PA,41.75,-78.41667,10,11,,4280,,,,,,,13.0,23.0,1.0,3.0,2.0,E,-9283094,Archilochus colubris,1037.2656346139652
B04933350063,B04933350063,,B,01/31/2004,31,1,2004,US,US-LA,30.41667,-91.08333,10,11,Rufous Hummingbird,4330,3,08,5.0,4.0,P4744824,0,,,,,,B,-36874153,Selasphorus rufus,B04933350063,,E,12/27/2004,27,12,2004,US,US-MS,32.41667,-90.08333,10,11,RUFOUS HUMMINGBIRD,4330,,,,,,,66.0,23.0,7.0,7.0,1.5,E,-12476060,Selasphorus rufus,241.27578710473568
B06833107336,B06833107336,,B,05/01/2011,1,5,2011,US,US-WA,48.49167,-122.875,1,11,Rufous Hummingbird,4330,3,08,1.0,5.0,P8728127,0,,,,,,B,-60382431,Selasphorus rufus,B06833107336,,E,12/07/2011,7,12,2011,US,US-LA,30.41667,-91.08333,10,11,RUFOUS HUMMINGBIRD,4330,,,,,,,66.0,23.0,7.0,7.0,1.5,E,-8686610,Selasphorus rufus,3353.5240299457864
B10933401190,B10933401190,,B,07/30/2008,30,7,2008,US,US-MO,38.50833,-90.49167,1,11,Ruby-throated Hummingbird,4280,3,08,1.0,4.0,P7721292,0,,,,,,B,-63070641,Archilochus colubris,B10933401190,,E,08/24/2008,24,8,2008,US,US-TX,31.41667,-95.58333,10,11,RUBY-THRT HUMMER,4280,,,,,,,66.0,23.0,7.0,7.0,1.17,E,-12273271,Archilochus colubris,913.5057953087768
B11933109323,B11933109323,,B,08/16/1990,16,8,1990,US,US-NM,33.08333,-108.25,10,11,Rufous Hummingbird,4330,3,08,2.0,5.0,P9993769,0,,,,,,B,-36884042,Selasphorus rufus,B11933109323,,E,07/28/1991,28,7,1991,US,US-CO,38.91667,-106.91667,10,11,,4330,,,,,,,66.0,21.0,1.0,7.0,1.08,E,-13020285,Selasphorus rufus,658.3081957349643
